obs    year    loc      plot   row     col     rep     iblk   entry      yield                                                                     
217     1       3       4037    3       19      2       19      26      3098.09                                                         
218     1       3       4038    3       18      2       19      15      3363.83                                                         
219     1       3       4039    3       17      2       20      8       3104.82                                                         
220     1       3       4040    3       16      2       20      5       2418.60                                                         
221     1       3       4041    3       15      2       21      21      1089.88                                                         
222     1       3       4042    3       14      2       21      29      3145.18                                                         
223     1       3       4043    3       13      2       22      2       2418.60                                                         
224     1       3       4044    3       12      2       22      22      2812.16                                                         
225     1       3       4045    3       11      2       23      24      2327.77                                                         
226     1       3       4046    3       10      2       23      19      4578.18                                                         
227     1       3       4047    3       9       2       24      4       2381.59                                                         
228     1       3       4048    3       8       2       24      6       2388.32                                                         
229     1       3       4049    3       7       2       25      18      2398.41                                                         
230     1       3       4050    3       6       2       25      30      3212.46                                                         
231     1       3       4051    3       5       2       26      14      2055.30                                                         
232     1       3       4052    3       4       2       26      28      3242.73                                                         
233     1       3       4053    3       3       2       27      13      2997.17                                                         
234     1       3       4054    3       2       2       27      20      3279.74                                                         
235     1       3       4055    3       1       2       28      10      2812.16                                                         
236     1       3       4056    2       1       2       28      25      2876.08                                                         
237     1       3       4057    2       2       2       29      3       2176.40                                                         
238     1       3       4058    2       3       2       29      11      2828.98                                                         
239     1       3       4059    2       4       2       30      9       2929.90                                                         
240     1       3       4060    2       5       2       30      17      2966.90                                                         
241     1       3       4061    2       6       3       31      11      2667.52                                                         
242     1       3       4062    2       7       3       31      16      2593.51                                                         
243     1       3       4063    2       8       3       32      6       2543.06                                                         
244     1       3       4064    2       9       3       32      25      2812.16                                                         
245     1       3       4065    2       10      3       33      15      3074.54                                                         
246     1       3       4066    2       11      3       33      3       2092.30                                                         
247     1       3       4067    2       12      3       34      5       2401.78                                                         
248     1       3       4068    2       13      3       34      10      2731.43                                                         
249     1       3       4069    2       14      3       35      8       2852.53                                                         
250     1       3       4070    2       15      3       35      9       2546.42                                                         
251     1       3       4071    2       16      3       36      23      2677.61                                                         
252     1       3       4072    2       17      3       36      18      2677.61                                                         
253     1       3       4073    2       18      3       37      21      1446.45                                                         
254     1       3       4074    2       19      3       37      20      2939.99                                                         
255     1       3       4075    2       20      3       38      17      2785.25                                                         
256     1       3       4076    1       20      3       38      7       2411.87                                                         
257     1       3       4077    1       19      3       39      27      3094.73                                                         
258     1       3       4078    1       18      3       39      12      2748.25                                                         
259     1       3       4079    1       17      3       40      24      2509.42                                                         
260     1       3       4080    1       16      3       40      30      3451.29                                                         
261     1       3       4081    1       15      3       41      19      5042.38                                                         
262     1       3       4082    1       14      3       41      29      3629.57                                                         
263     1       3       4083    1       13      3       42      2       2391.68                                                         
264     1       3       4084    1       12      3       42      14      1328.71                                                         
265     1       3       4085    1       11      3       43      1       2526.24                                                         
266     1       3       4086    1       10      3       43      28      2916.44                                                         
267     1       3       4087    1       9       3       44      13      2761.71                                                         
268     1       3       4088    1       8       3       44      22      2664.16                                                         
269     1       3       4089    1       7       3       45      26      3444.56                                                         
270     1       3       4090    1       6       3       45      4       1930.84  
